,,Brightness,,,,,,,,,,,,,,,,,,,,,,,,Color,,,,,,,,,,,,Focus,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postproc & Other,Postproc & Other,,,,,,,,,,,,,,,,,,,,,,,,
cap0_face,0x00-00-05-00-00-01-00-00,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N
cap1_face,0x00-00-06-00-00-01-00-00,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N
cap2_face,0x00-00-07-00-00-01-00-00,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N
cap3_face,0x00-00-08-00-00-01-00-00,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N
video0_face,0x00-00-09-00-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
video1_face,0x00-00-0a-00-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
video2_face,0x00-00-0b-00-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
video3_face,0x00-00-0c-00-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
video4_face,0x00-00-0d-00-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
prv0_night,0x00-00-01-01-00-00-00-00,,,N,Y,Y,N,,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,,N,,,,,,,,N,,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
prv1_night,0x00-00-02-01-00-00-00-00,,,N,Y,Y,N,,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,,N,,,,,,,,N,,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
prv2_night,0x00-00-03-01-00-00-00-00,,,N,Y,Y,N,,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,,N,,,,,,,,N,,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
prv3_night,0x00-00-04-01-00-00-00-00,,,N,Y,Y,N,,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,,N,,,,,,,,N,,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cap0_night,0x00-00-05-01-00-00-00-00,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,,,,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,N,N,N,N,,N,N,N,N,N,N,,,,N
